source_id,source_name,source_type,target_id,target_name,target_type,relationship_type,is_circular,is_valid
P72,Agent Role Selector,pattern,P68,Agent Team Visualization,pattern,uses,no,yes
P72,Agent Role Selector,pattern,P71,Orchestration Dashboard,pattern,uses,no,yes
P73,Composite Action,pattern,P30,Command Pattern,pattern,requires,no,yes
P73,Composite Action,pattern,P14,Agent Swarm,pattern,uses,no,yes
P73,Composite Action,pattern,P92,Contextual Undo/Rollback,pattern,uses,no,yes
P74,Continuous AI Monitoring,pattern,P22,Event Bus,pattern,requires,no,yes
P74,Continuous AI Monitoring,pattern,P112,Event Stream Visualization,pattern,requires,no,yes
P74,Continuous AI Monitoring,pattern,P27,Toast/Notification,pattern,uses,no,yes
P74,Continuous AI Monitoring,pattern,P75,Proactive Intervention,pattern,uses,yes,yes
P74,Continuous AI Monitoring,pattern,P129,Performance Metrics Dashboard,pattern,uses,no,yes
P75,Proactive Intervention,pattern,P74,Continuous AI Monitoring,pattern,uses,yes,yes
P75,Proactive Intervention,pattern,P76,Ambient AI,pattern,uses,no,yes
P75,Proactive Intervention,pattern,P77,Intelligent Interruption,pattern,uses,no,yes
P75,Proactive Intervention,pattern,P79,Anticipatory Action,pattern,uses,no,yes
P80,Voice Conversation,pattern,P2,Command Interface,pattern,uses,no,yes
P80,Voice Conversation,pattern,P82,Multimodal Input Fusion,pattern,uses,no,yes
P80,Voice Conversation,pattern,P85,Voice Disambiguation,pattern,uses,no,yes
P100,Source Citation,pattern,P9,Backlinks/References,pattern,uses,no,yes
P100,Source Citation,pattern,P101,Retrieval Path Visualization,pattern,uses,yes,yes
P100,Source Citation,pattern,P102,Confidence-Based Highlighting,pattern,uses,yes,yes
P100,Source Citation,pattern,P103,Multi-Source Reconciliation,pattern,uses,yes,yes
P101,Retrieval Path Visualization,pattern,P19,Graph Database,pattern,requires,no,yes
P101,Retrieval Path Visualization,pattern,P99,Knowledge Graph Explorer,pattern,requires,no,yes
P101,Retrieval Path Visualization,pattern,P100,Source Citation,pattern,uses,yes,yes
P101,Retrieval Path Visualization,pattern,P104,Graph Query Builder,pattern,uses,yes,yes
P102,Confidence-Based Highlighting,pattern,P80,Voice Conversation,pattern,uses,no,yes
P102,Confidence-Based Highlighting,pattern,P89,Confidence Indicator,pattern,uses,no,yes
P102,Confidence-Based Highlighting,pattern,P96,Real-Time Confidence Display,pattern,uses,no,yes
P102,Confidence-Based Highlighting,pattern,P100,Source Citation,pattern,uses,yes,yes
P103,Multi-Source Reconciliation,pattern,P100,Source Citation,pattern,requires,yes,yes
P103,Multi-Source Reconciliation,pattern,P102,Confidence-Based Highlighting,pattern,uses,yes,yes
P103,Multi-Source Reconciliation,pattern,P108,Cross-Document Linking,pattern,uses,yes,yes
P104,Graph Query Builder,pattern,P19,Graph Database,pattern,requires,no,yes
P104,Graph Query Builder,pattern,P99,Knowledge Graph Explorer,pattern,uses,no,yes
P104,Graph Query Builder,pattern,P101,Retrieval Path Visualization,pattern,uses,yes,yes
P104,Graph Query Builder,pattern,P117,Event Filter & Query,pattern,uses,yes,yes
P105,Semantic Similarity Visualizer,pattern,P99,Knowledge Graph Explorer,pattern,uses,no,yes
P105,Semantic Similarity Visualizer,pattern,P101,Retrieval Path Visualization,pattern,uses,yes,yes
P105,Semantic Similarity Visualizer,pattern,P108,Cross-Document Linking,pattern,uses,yes,yes
P107,Suggested Edits,pattern,P47,Inline Editing Pattern,pattern,uses,no,yes
P107,Suggested Edits,pattern,P102,Confidence-Based Highlighting,pattern,uses,yes,yes
P107,Suggested Edits,pattern,P109,Outdated Content Detection,pattern,uses,yes,yes
P108,Cross-Document Linking,pattern,P9,Backlinks/References,pattern,requires,no,yes
P108,Cross-Document Linking,pattern,P99,Knowledge Graph Explorer,pattern,uses,no,yes
P108,Cross-Document Linking,pattern,P103,Multi-Source Reconciliation,pattern,uses,yes,yes
P108,Cross-Document Linking,pattern,P105,Semantic Similarity Visualizer,pattern,uses,yes,yes
P109,Outdated Content Detection,pattern,P100,Source Citation,pattern,uses,yes,yes
P109,Outdated Content Detection,pattern,P106,Auto-Updating Content,pattern,uses,no,yes
P109,Outdated Content Detection,pattern,P107,Suggested Edits,pattern,uses,yes,yes
P109,Outdated Content Detection,pattern,P111,Document Evolution Timeline,pattern,uses,yes,yes
P110,Collaborative Document Intelligence,pattern,P14,Agent Swarm,pattern,requires,no,yes
P110,Collaborative Document Intelligence,pattern,F5,Collaborative Editing Flow,flow,uses,no,yes
P110,Collaborative Document Intelligence,pattern,P68,Agent Team Visualization,pattern,uses,no,yes
P110,Collaborative Document Intelligence,pattern,P107,Suggested Edits,pattern,uses,no,yes
P110,Collaborative Document Intelligence,pattern,P135,Conflict Resolution Interface,pattern,uses,no,yes
P111,Document Evolution Timeline,pattern,C5,Version History,concept,requires,no,yes
P111,Document Evolution Timeline,pattern,P109,Outdated Content Detection,pattern,uses,yes,yes
P111,Document Evolution Timeline,pattern,P112,Event Stream Visualization,pattern,uses,yes,yes
P111,Document Evolution Timeline,pattern,P113,Event Replay Control,pattern,uses,yes,yes
P112,Event Stream Visualization,pattern,P22,Event Bus,pattern,requires,no,yes
P112,Event Stream Visualization,pattern,P111,Document Evolution Timeline,pattern,uses,yes,yes
P112,Event Stream Visualization,pattern,P114,Stream Backpressure,pattern,uses,yes,yes
P112,Event Stream Visualization,pattern,P115,Event-Driven State Updates,pattern,uses,yes,yes
P112,Event Stream Visualization,pattern,P117,Event Filter & Query,pattern,uses,yes,yes
P113,Event Replay Control,pattern,P22,Event Bus,pattern,requires,no,yes
P113,Event Replay Control,pattern,P30,Command Pattern,pattern,uses,no,yes
P113,Event Replay Control,pattern,P111,Document Evolution Timeline,pattern,uses,yes,yes
P113,Event Replay Control,pattern,P115,Event-Driven State Updates,pattern,uses,yes,yes
P114,Stream Backpressure,pattern,P22,Event Bus,pattern,requires,no,yes
P114,Stream Backpressure,pattern,P112,Event Stream Visualization,pattern,uses,yes,yes
P114,Stream Backpressure,pattern,P116,Multi-Stream Coordination UI,pattern,uses,yes,yes
P115,Event-Driven State Updates,pattern,P22,Event Bus,pattern,requires,no,yes
P115,Event-Driven State Updates,pattern,P29,Centralized State Store,pattern,requires,no,yes
P115,Event-Driven State Updates,pattern,P30,Command Pattern,pattern,uses,no,yes
P115,Event-Driven State Updates,pattern,P31,Observer Pattern,pattern,uses,no,yes
P115,Event-Driven State Updates,pattern,P112,Event Stream Visualization,pattern,uses,yes,yes
P115,Event-Driven State Updates,pattern,P113,Event Replay Control,pattern,uses,yes,yes
P115,Event-Driven State Updates,pattern,P116,Multi-Stream Coordination UI,pattern,uses,yes,yes
P116,Multi-Stream Coordination UI,pattern,P22,Event Bus,pattern,requires,no,yes
P116,Multi-Stream Coordination UI,pattern,P68,Agent Team Visualization,pattern,uses,yes,yes
P116,Multi-Stream Coordination UI,pattern,P114,Stream Backpressure,pattern,uses,yes,yes
P116,Multi-Stream Coordination UI,pattern,P115,Event-Driven State Updates,pattern,uses,yes,yes
P116,Multi-Stream Coordination UI,pattern,P117,Event Filter & Query,pattern,uses,yes,yes
P117,Event Filter & Query,pattern,P22,Event Bus,pattern,requires,no,yes
P117,Event Filter & Query,pattern,P53,Filtering Pattern,pattern,uses,no,yes
P117,Event Filter & Query,pattern,P104,Graph Query Builder,pattern,uses,yes,yes
P117,Event Filter & Query,pattern,P112,Event Stream Visualization,pattern,uses,yes,yes
P117,Event Filter & Query,pattern,P116,Multi-Stream Coordination UI,pattern,uses,yes,yes
P119,Cross-Domain Integration View,pattern,P118,Domain Context Switcher,pattern,uses,no,yes
P119,Cross-Domain Integration View,pattern,P120,Domain-Specific Agent Activation,pattern,uses,no,yes
P119,Cross-Domain Integration View,pattern,P122,Multi-Domain Dashboard,pattern,uses,no,yes
