pattern_id,pattern_name,component_name,component_type,notation,description
F6,Error Recovery Flow,strategy,ErrorType → RecoveryStrategy,strategy,selects recovery approach
F6,Error Recovery Flow,recover,"(Error, RecoveryStrategy) → Effect",recover,executes recovery
P6,Palette/Toolbar,input,Input,input,input to palette/toolbar
P6,Palette/Toolbar,process,Input → Output,process,processing function
P6,Palette/Toolbar,output,Output,output,output from palette/toolbar
P6,Palette/Toolbar,display,Output → Visual,display,display function
P7,Breadcrumb Trail,path,Sequence⟨Node⟩,path,current location path
P7,Breadcrumb Trail,separators,String,separators,"visual separators (e.g., "" / "")"
P7,Breadcrumb Trail,actions,Node → Effect,actions,defines click behavior
P8,Search-Based Navigation,query,String,query,search query
P8,Search-Based Navigation,index,Index⟨Item⟩,index,searchable index
P8,Search-Based Navigation,results,Sequence⟨Item⟩,results,ranked results
P8,Search-Based Navigation,ranker,"(Item, String) → ℝ",ranker,scores relevance
P9,Backlinks/References,input,Input,input,input to backlinks/references
P9,Backlinks/References,process,Input → Output,process,processing function
P9,Backlinks/References,output,Output,output,output from backlinks/references
P9,Backlinks/References,display,Output → Visual,display,display function
P10,Parser/Compiler Pipeline,input,Input,input,input to parser/compiler pipeline
P10,Parser/Compiler Pipeline,process,Input → Output,process,processing function
P10,Parser/Compiler Pipeline,output,Output,output,output from parser/compiler pipeline
P10,Parser/Compiler Pipeline,display,Output → Visual,display,display function
P11,Validator/Checker,input,Input,input,input to validator/checker
P11,Validator/Checker,process,Input → Output,process,processing function
P11,Validator/Checker,output,Output,output,output from validator/checker
P11,Validator/Checker,display,Output → Visual,display,display function
P12,Solver/Optimizer,input,Input,input,input to solver/optimizer
P12,Solver/Optimizer,process,Input → Output,process,processing function
P12,Solver/Optimizer,output,Output,output,output from solver/optimizer
P12,Solver/Optimizer,display,Output → Visual,display,display function
P13,Indexer/Query Engine,input,Input,input,input to indexer/query engine
P13,Indexer/Query Engine,process,Input → Output,process,processing function
P13,Indexer/Query Engine,output,Output,output,output from indexer/query engine
P13,Indexer/Query Engine,display,Output → Visual,display,display function
P14,Agent Swarm,agents,Set⟨Agent⟩,agents,autonomous workers
P14,Agent Swarm,tasks,Queue⟨Task⟩,tasks,pending tasks
P14,Agent Swarm,coord,Coordinator,coord,manages task distribution
P14,Agent Swarm,results,"Map⟨Task, Result⟩",results,stores completed results
P15,Reasoning Chain,steps,Sequence⟨Step⟩,steps,reasoning steps
P15,Reasoning Chain,state,"Map⟨ℕ, State⟩",state,tracks state at each step
P15,Reasoning Chain,deps,"Map⟨ℕ, Set⟨ℕ⟩⟩",deps,defines step dependencies
P15,Reasoning Chain,result,Result,result,final conclusion
P16,Suggestion/Recommendation System,input,Input,input,input to suggestion/recommendation system
P16,Suggestion/Recommendation System,process,Input → Output,process,processing function
P16,Suggestion/Recommendation System,output,Output,output,output from suggestion/recommendation system
P16,Suggestion/Recommendation System,display,Output → Visual,display,display function
P17,Key-Value Store,store,"Map⟨Key, Value⟩",store,storage
P17,Key-Value Store,get,Key → Value | null,get,retrieves values
P17,Key-Value Store,set,Key × Value → Effect,set,stores values
P17,Key-Value Store,delete,Key → Effect,delete,removes entries
P18,Relational Database,tables,"Map⟨String, Table⟩",tables,data tables
P18,Relational Database,schemas,"Map⟨String, Schema⟩",schemas,define table structures
P18,Relational Database,constraints,Set⟨Constraint⟩,constraints,enforce integrity
P18,Relational Database,indices,"Map⟨(Table, Column), Index⟩",indices,speed queries
P19,Graph Database,nodes,Set⟨Node⟩,nodes,entities
P19,Graph Database,edges,Set⟨Edge⟩,edges,relationships
P19,Graph Database,props,"(Node | Edge) → Map⟨String, Value⟩",props,properties
P19,Graph Database,traversal,Query → Sequence⟨Path⟩,traversal,executes graph queries
P20,Document Store,collections,"Map⟨String, Set⟨Document⟩⟩",collections,group documents
P20,Document Store,documents,Set⟨Document⟩,documents,schema-free documents
P20,Document Store,queries,Query → Set⟨Document⟩,queries,find documents
P20,Document Store,indices,"Map⟨Path, Index⟩",indices,speed queries
P21,Time-Series Store,series,"Map⟨String, TimeSeries⟩",series,named series
P21,Time-Series Store,timestamps,Sequence⟨Time⟩,timestamps,ordered timestamps
P21,Time-Series Store,values,"Map⟨Time, Value⟩",values,data points
P21,Time-Series Store,aggregations,"(Time, Time, Func) → Value",aggregations,compute aggregates
P22,Event Bus,publishers,Set⟨Publisher⟩,publishers,emit events
P22,Event Bus,subscribers,"Map⟨Topic, Set⟨Subscriber⟩⟩",subscribers,listen for events
P22,Event Bus,topics,Set⟨Topic⟩,topics,event channels
P22,Event Bus,broker,"(Topic, Event) → Effect",broker,routes events
P23,Real-Time Sync,local,State,local,local state
P23,Real-Time Sync,remote,State,remote,remote state
P23,Real-Time Sync,diff,State × State → Delta,diff,computes differences
P23,Real-Time Sync,merge,State × Delta → State,merge,applies changes
P23,Real-Time Sync,conflicts,Sequence⟨Conflict⟩,conflicts,tracks unresolved conflicts
P24,Request-Response API,endpoints,Set⟨Endpoint⟩,endpoints,API routes
P24,Request-Response API,handlers,"Map⟨Endpoint, Handler⟩",handlers,process requests
P24,Request-Response API,middleware,Sequence⟨Middleware⟩,middleware,request interceptors
P24,Request-Response API,responses,Request → Response,responses,generates responses
P25,Streaming Protocol,producer,Producer,producer,generates data
P25,Streaming Protocol,consumer,Consumer,consumer,processes data
P25,Streaming Protocol,buffer,Queue⟨Chunk⟩,buffer,buffers data
P25,Streaming Protocol,backpressure,Signal,backpressure,controls flow rate
P25,Streaming Protocol,state,"\{\text{flowing}, \text{paused}, \text{ended}, \text{error}\}",state,stream state
P26,Status Bar/Indicator,state,State,state,current status bar/indicator state
P26,Status Bar/Indicator,measure,State → Metric,measure,measurement function
P26,Status Bar/Indicator,visualize,Metric → Visual,visualize,visualization function
P26,Status Bar/Indicator,update,Visual → Effect,update,display update function
P27,Toast/Notification,input,Input,input,input to toast/notification
P27,Toast/Notification,process,Input → Output,process,processing function
P27,Toast/Notification,output,Output,output,output from toast/notification
P27,Toast/Notification,display,Output → Visual,display,display function
P28,Progress Indicator,current,ℕ,current,completed work
P28,Progress Indicator,total,ℕ,total,total work
P28,Progress Indicator,label,String,label,describes the task
P28,Progress Indicator,eta,Time,eta,estimated completion time
P28,Progress Indicator,state,"\{\text{running}, \text{paused}, \text{complete}, \text{error}\}",state,status
P29,Centralized State Store,store,State,store,application state (single source of truth)
P29,Centralized State Store,reducers,"Map⟨Action, Reducer⟩",reducers,update state
P29,Centralized State Store,selectors,"Map⟨String, Selector⟩",selectors,query state
P29,Centralized State Store,subscriptions,Set⟨Subscriber⟩,subscriptions,listen for changes
P30,Command Pattern,commands,Sequence⟨Command⟩,commands,executed commands
P30,Command Pattern,executor,Command → Effect,executor,executes commands
P30,Command Pattern,undo\_stack,Stack⟨Command⟩,undo\_stack,for undo
P30,Command Pattern,redo\_stack,Stack⟨Command⟩,redo\_stack,for redo
P31,Observer Pattern,subject,Subject,subject,observed object
P31,Observer Pattern,observers,Set⟨Observer⟩,observers,listeners
P31,Observer Pattern,notify,() → Effect,notify,notifies all observers
P32,Plugin Architecture,interface,Interface,interface,defines plugin contract
P32,Plugin Architecture,registry,"Map⟨ID, Plugin⟩",registry,stores loaded plugins
P32,Plugin Architecture,loader,Path → Plugin,loader,loads plugins
P32,Plugin Architecture,lifecycle,Plugin → Sequence⟨Phase⟩,lifecycle,manages plugin lifecycle
P33,Hook System,hooks,Set⟨HookPoint⟩,hooks,extension points
P33,Hook System,handlers,"Map⟨HookPoint, Sequence⟨Handler⟩⟩",handlers,registered handlers
P33,Hook System,register,"(HookPoint, Handler) → Effect",register,registers handlers
P33,Hook System,invoke,"(HookPoint, Context) → Effect",invoke,invokes handlers
P34,Strategy Pattern,interface,Interface,interface,defines algorithm contract
P34,Strategy Pattern,implementations,"Map⟨ID, Implementation⟩",implementations,concrete strategies
P34,Strategy Pattern,selector,Context → ID,selector,chooses strategy
P34,Strategy Pattern,current,Implementation,current,active strategy
P35,Split-Pane Layout,R,"P → [0,1]",R,maps panes to **proportional sizes**
P35,Split-Pane Layout,\delta_{35},"P \times P → \{\text{splitter}, \text{null}\}",\delta_{35},indicates splitters
P35,Split-Pane Layout,\sigma_{35},"P → \{\text{visible}, \text{collapsed}\}",\sigma_{35},**state function**
P36,Selection-Driven Panel,selection,Element | null,selection,currently selected object
P36,Selection-Driven Panel,content,Component,content,displayed content
P36,Selection-Driven Panel,\phi_{36},Element → Component,\phi_{36},maps selection to content
P36,Selection-Driven Panel,observers,Set⟨Observer⟩,observers,watch selection changes
P37,Empty State Pattern,\epsilon_{37},"C → \{\text{empty}, \text{populated}\}",\epsilon_{37},**emptiness predicate**
P38,Badge/Indicator Pattern,state,State,state,current badge/indicator pattern state
P38,Badge/Indicator Pattern,measure,State → Metric,measure,measurement function
P38,Badge/Indicator Pattern,visualize,Metric → Visual,visualize,visualization function
P38,Badge/Indicator Pattern,update,Visual → Effect,update,display update function
P39,Contextual Action Menu,\pi_{39},"A \times C → \{\text{visible}, \text{hidden}, \text{disabled}\}",\pi_{39},**availability**
P39,Contextual Action Menu,\sigma_{39},"M → \{\text{open}, \text{closed}\}",\sigma_{39},**state**
P39,Contextual Action Menu,\delta_{39},M → \mathbb{R}^2,\delta_{39},**positioning function**
P40,Mode Toggle System,\delta_{40},"M \times M → \{\text{allowed}, \text{forbidden}\}",\delta_{40},**transition function**
P40,Mode Toggle System,\phi_{40},M → UIConfig,\phi_{40},maps mode to **UI configuration**
P40,Mode Toggle System,\iota_{40},M → Indicator,\iota_{40},provides **visual indicators**
P41,Inline Status Chip,\sigma_{41},States → Styles,\sigma_{41},**styling function**
P41,Inline Status Chip,\alpha_{41},Chip → Action,\alpha_{41},optional **click action**
P42,Tooltip/Hint System,input,Input,input,input to tooltip/hint system
P42,Tooltip/Hint System,process,Input → Output,process,processing function
P42,Tooltip/Hint System,output,Output,output,output from tooltip/hint system
P42,Tooltip/Hint System,display,Output → Visual,display,display function
P43,Application Navigation Drawer,O,S_{43} → \mathbb{B},O,determines **overlay visibility**
P43,Application Navigation Drawer,\alpha_{43},S_{43} \times S_{43} → Animation,\alpha_{43},**transition animation**
P43,Application Navigation Drawer,\pi_{43},C → Route,\pi_{43},maps items to **routes**
P44,Keyboard Shortcut System,B,KeyCombo → Action,B,**binding map**
P44,Keyboard Shortcut System,H,Action → String,H,**hint display function**
P44,Keyboard Shortcut System,C,KeyCombo \times KeyCombo → \mathbb{B},C,**conflict detector**
P44,Keyboard Shortcut System,P,Platform → KeyMapping,P,**platform mapping**
P45,Drag and Drop Interaction,G,S → Ghost,G,**ghost element function**
P45,Drag and Drop Interaction,F,"S \times T → \{\text{accept}, \text{reject}\}",F,**acceptance predicate**
P45,Drag and Drop Interaction,\phi_{45},S \times T → Effect,\phi_{45},**drop handler**
P46,Focus Management System,O,UI → Sequence⟨Element⟩,O,**focus order function**
P46,Focus Management System,\tau_{46},"Element → \{\text{tabbable}, \text{not\_tabbable}\}",\tau_{46},**tabbability**
P46,Focus Management System,R,Modal → Element,R,**focus restoration function**
P46,Focus Management System,I,Element → VisualIndicator,I,**indicator rendering**
P47,Inline Editing Pattern,\tau_{47},Event → M,\tau_{47},**trigger function**
P47,Inline Editing Pattern,\phi_{47},Value \times Value → Effect,\phi_{47},**commit handler**
P47,Inline Editing Pattern,\psi_{47},() → Effect,\psi_{47},**cancel handler**
P48,Form Validation Pattern,fields,"Map⟨String, Field⟩",fields,form fields
P48,Form Validation Pattern,rules,"Map⟨String, Validator⟩",rules,validation rules
P48,Form Validation Pattern,state,"Map⟨String, ValidationState⟩",state,tracks validation status
P48,Form Validation Pattern,errors,"Map⟨String, Sequence⟨String⟩⟩",errors,stores error messages
P49,Multi-Step Form (Wizard) Pattern,steps,Sequence⟨Step⟩,steps,form steps
P49,Multi-Step Form (Wizard) Pattern,current,ℕ,current,active step index
P49,Multi-Step Form (Wizard) Pattern,data,"Map⟨String, Value⟩",data,accumulates form data
P49,Multi-Step Form (Wizard) Pattern,nav,Navigation,nav,controls step transitions
P49,Multi-Step Form (Wizard) Pattern,progress,ℕ/ℕ,progress,shows completion progress
P50,Form Dependency Pattern,fields,"Map⟨String, Field⟩",fields,form fields
P50,Form Dependency Pattern,deps,"Map⟨String, Set⟨String⟩⟩",deps,defines dependencies
P50,Form Dependency Pattern,update,String × Value → Effect,update,propagates changes
P50,Form Dependency Pattern,cascade,𝔹,cascade,enables cascading updates
P51,Responsive Layout Pattern (NEW),breakpoints,"Sequence⟨(width: ℝ, name: String)⟩",breakpoints,define size thresholds
P51,Responsive Layout Pattern (NEW),layouts,"Map⟨String, Layout⟩",layouts,map breakpoint names to layouts
P51,Responsive Layout Pattern (NEW),current,String,current,active layout name
P52,Pagination Pattern,data,Sequence⟨Item⟩,data,full dataset
P52,Pagination Pattern,page,ℕ,page,current page number (1-indexed)
P52,Pagination Pattern,size,ℕ,size,items per page
P52,Pagination Pattern,total,ℕ,total,total item count
P52,Pagination Pattern,nav,Navigation,nav,provides navigation controls
P53,Filtering Pattern,data,Set⟨Item⟩,data,full dataset
P53,Filtering Pattern,filters,"Map⟨String, Filter⟩",filters,available filters
P53,Filtering Pattern,active,"Map⟨String, FilterValue⟩",active,active filters
P53,Filtering Pattern,result,Set⟨Item⟩,result,filtered result
P53,Filtering Pattern,facets,"Map⟨String, Facet⟩",facets,shows filter counts
P54,Sorting Pattern,data,Sequence⟨Item⟩,data,dataset
P54,Sorting Pattern,columns,Sequence⟨Column⟩,columns,sortable columns
P54,Sorting Pattern,order,"Sequence⟨(Column, Direction)⟩",order,sort specification
P54,Sorting Pattern,comparator,"Item × Item → \{-1, 0, 1\}",comparator,comparison function
P55,Virtualization Pattern,data,Sequence⟨Item⟩,data,full dataset
P55,Virtualization Pattern,viewport,Rectangle,viewport,visible area
P55,Virtualization Pattern,item\_height,Item → ℝ,item\_height,calculates item height
P55,Virtualization Pattern,buffer,ℕ,buffer,number of items to pre-render beyond viewport
P55,Virtualization Pattern,visible,Sequence⟨Item⟩,visible,currently rendered items
P56,Cache Strategy Pattern,storage,"Map⟨Key, (Value, Metadata)⟩",storage,cache store
P56,Cache Strategy Pattern,policy,EvictionPolicy,policy,determines what to evict
P56,Cache Strategy Pattern,ttl,Key → Duration,ttl,defines time-to-live
P56,Cache Strategy Pattern,evict,() → Effect,evict,removes stale entries
P57,Data Migration Pattern,versions,Sequence⟨Version⟩,versions,schema versions
P57,Data Migration Pattern,migrations,"Map⟨(Version, Version), Migration⟩",migrations,define transitions
P57,Data Migration Pattern,current,Version,current,active version
P57,Data Migration Pattern,rollback,Migration → Migration,rollback,reverses migrations
P58,Authentication Pattern,users,"Map⟨UserID, User⟩",users,registered users
P58,Authentication Pattern,credentials,"Map⟨UserID, HashedPassword⟩",credentials,store credentials
P58,Authentication Pattern,sessions,"Map⟨SessionID, Session⟩",sessions,track active sessions
P58,Authentication Pattern,verify,"(UserID, Password) → 𝔹",verify,validates credentials
P58,Authentication Pattern,tokens,"Map⟨Token, UserID⟩",tokens,map tokens to users
P59,Authorization Pattern,subjects,Set⟨Subject⟩,subjects,"actors (users, services)"
P59,Authorization Pattern,objects,Set⟨Object⟩,objects,resources
P59,Authorization Pattern,permissions,Set⟨Permission⟩,permissions,allowed actions
P59,Authorization Pattern,policies,Subject \times Object \times Action → \mathbb{B},policies,define rules
P59,Authorization Pattern,check,"(Subject, Object, Action) → \mathbb{B}",check,evaluates access
P60,Input Sanitization Pattern,validators,"Map⟨InputType, Validator⟩",validators,check input validity
P60,Input Sanitization Pattern,sanitizers,"Map⟨InputType, Sanitizer⟩",sanitizers,clean input
P60,Input Sanitization Pattern,encoders,"Map⟨Context, Encoder⟩",encoders,encode for safe output
P60,Input Sanitization Pattern,rules,Set⟨SecurityRule⟩,rules,define security constraints
P61,Unit Test Pattern,sut,System,sut,**system under test** (unit being tested)
P61,Unit Test Pattern,arrange,() → Context,arrange,sets up test preconditions
P61,Unit Test Pattern,act,Context → Result,act,exercises the unit
P61,Unit Test Pattern,assert,Result → \mathbb{B},assert,verifies expectations
P61,Unit Test Pattern,cleanup,Context → Effect,cleanup,tears down test state
P62,Integration Test Pattern,components,Set⟨Component⟩,components,integrated components
P62,Integration Test Pattern,interactions,Sequence⟨Interaction⟩,interactions,component communications
P62,Integration Test Pattern,environment,Environment,environment,"test environment (DB, API, etc.)"
P62,Integration Test Pattern,verify,() → \mathbb{B},verify,checks end-to-end behavior
P63,End-to-End Test Pattern,scenario,UserStory,scenario,user scenario being tested
P63,End-to-End Test Pattern,browser,Browser,browser,automated browser
P63,End-to-End Test Pattern,pages,"Map⟨String, PageObject⟩",pages,represent UI pages
P63,End-to-End Test Pattern,assertions,Sequence⟨Assertion⟩,assertions,verify expected outcomes
P63,End-to-End Test Pattern,data,TestData,data,test data for the scenario
P64,Generative UI,T_{lib},Set⟨ComponentTemplate⟩,T_{lib},library of UI component templates
P64,Generative UI,ctx,Context,ctx,current application context and state
P64,Generative UI,gen,Context → ComponentSpec,gen,AI generator function that selects/configures components
P64,Generative UI,render,ComponentSpec → UIElement,render,rendering function that creates UI from spec
P64,Generative UI,stream,Stream⟨Token⟩,stream,token stream from LLM for progressive generation
P65,Streaming Component,\tau_{stream},Stream⟨Token⟩,\tau_{stream},incoming token stream from LLM
P65,Streaming Component,buf,BoundedQueue⟨Token⟩,buf,buffer for token accumulation
P65,Streaming Component,Q_{render},Queue⟨RenderTask⟩,Q_{render},render task queue for async updates
P65,Streaming Component,sync,State → Effect,sync,synchronization mechanism for UI updates
P66,Context-Adaptive Interface,U_{state},ApplicationState,U_{state},current application state
P66,Context-Adaptive Interface,T_{ctx},Context → ContextVector,T_{ctx},context extraction and encoding function
P66,Context-Adaptive Interface,T_{ui},Set⟨UIVariant⟩,T_{ui},set of UI variants for different contexts
P66,Context-Adaptive Interface,R_{adapt},ContextVector → UIVariant,R_{adapt},adaptation function mapping context to UI
P67,Progressive Disclosure by AI,H_{info},Hierarchy⟨InfoNode⟩,H_{info},hierarchical structure of information to disclose
P67,Progressive Disclosure by AI,score_{rel},"InfoNode → [0,1]",score_{rel},relevance scoring function for each node
P67,Progressive Disclosure by AI,\sigma_{disc},DisclosureStrategy,\sigma_{disc},strategy for progressive information revelation
P68,Agent Team Visualization,A_{roster},Set⟨Agent⟩,A_{roster},current team of active agents
P68,Agent Team Visualization,R_{roles},Agent → Role,R_{roles},role assignment mapping for each agent
P68,Agent Team Visualization,S_{status},Agent → Status,S_{status},current status of each agent
P68,Agent Team Visualization,C_{coord},Set⟨Coordination⟩,C_{coord},coordination relationships between agents
P69,Agent Activity Timeline,Events,Seq⟨Event⟩,Events,chronological sequence of agent events
P69,Agent Activity Timeline,Timeline,Time → Set⟨Event⟩,Timeline,temporal mapping of events
P69,Agent Activity Timeline,Agents,Set⟨Agent⟩,Agents,set of agents being tracked
P69,Agent Activity Timeline,Actions,Event → ActionType,Actions,classification of event types
P70,Agent Handoff,A_{from},Agent,A_{from},source agent initiating handoff
P70,Agent Handoff,A_{to},Agent,A_{to},target agent receiving handoff
P70,Agent Handoff,\Sigma_{state},State,\Sigma_{state},state being transferred between agents
P70,Agent Handoff,T_{transfer},TransferProtocol,T_{transfer},protocol for state transfer
P70,Agent Handoff,V_{verify},State → Boolean,V_{verify},verification function for transfer integrity
P71,Orchestration Dashboard,W_{flow},WorkflowGraph,W_{flow},DAG representing orchestration workflow
P71,Orchestration Dashboard,A_{agents},Set⟨Agent⟩,A_{agents},set of orchestrated agents
P71,Orchestration Dashboard,M_{metrics},Metrics,M_{metrics},real-time performance metrics
P71,Orchestration Dashboard,C_{control},Set⟨Control⟩,C_{control},user controls for orchestration
P72,Agent Role Selector,R_{available},Set⟨Role⟩,R_{available},set of available agent roles
P72,Agent Role Selector,T_{task},TaskSpec,T_{task},task specification requiring role assignment
P72,Agent Role Selector,M_{match},"Role × Task → [0,1]",M_{match},role-task matching score function
P72,Agent Role Selector,A_{assign},"(Role, Task) → Agent",A_{assign},assignment function mapping role to agent
P73,Composite Action,A_{atomic},Set⟨AtomicAction⟩,A_{atomic},set of atomic actions to compose
P73,Composite Action,compose,Seq⟨Action⟩ → CompositeAction,compose,composition function creating compound action
P73,Composite Action,exec,CompositeAction → Result,exec,execution function for composite action
P73,Composite Action,rollback,CompositeAction → Effect,rollback,rollback function for failed composites
P75,Proactive Intervention,P_{predict},Context → Prediction,P_{predict},prediction function for user needs
P75,Proactive Intervention,T_{timing},Prediction → Time,T_{timing},optimal timing function for intervention
P75,Proactive Intervention,A_{action},Prediction → Action,A_{action},action selection function
P75,Proactive Intervention,U_{user},UserState,U_{user},current user state and cognitive load
P76,Ambient AI,C_{aware},Component,C_{aware},Component C_{aware} from tuple definition
P76,Ambient AI,P_{cont},Component,P_{cont},Component P_{cont} from tuple definition
P76,Ambient AI,I_{subtle},Component,I_{subtle},Component I_{subtle} from tuple definition
P76,Ambient AI,E_{bg},Component,E_{bg},Component E_{bg} from tuple definition
P77,Intelligent Interruption,S_{load},Component,S_{load},Component S_{load} from tuple definition
P77,Intelligent Interruption,D_{boundary},Component,D_{boundary},Component D_{boundary} from tuple definition
P77,Intelligent Interruption,score_{urgency},Component,score_{urgency},Component score_{urgency} from tuple definition
P77,Intelligent Interruption,Sched,Component,Sched,Component Sched from tuple definition
P78,Background Task Management,Q_{tasks},Component,Q_{tasks},Component Q_{tasks} from tuple definition
P78,Background Task Management,I_{progress},Component,I_{progress},Component I_{progress} from tuple definition
P78,Background Task Management,N_{complete},Component,N_{complete},Component N_{complete} from tuple definition
P78,Background Task Management,S_{results},Component,S_{results},Component S_{results} from tuple definition
P79,Anticipatory Action,P_{intent},Component,P_{intent},Component P_{intent} from tuple definition
P79,Anticipatory Action,Prep_{res},Component,Prep_{res},Component Prep_{res} from tuple definition
P79,Anticipatory Action,E_{spec},Component,E_{spec},Component E_{spec} from tuple definition
P79,Anticipatory Action,V_{gate},Component,V_{gate},Component V_{gate} from tuple definition
P80,Voice Conversation,I_{speech},AudioStream,I_{speech},continuous audio input stream from user
P80,Voice Conversation,R_{intent},Intent \times Confidence,R_{intent},recognized intent with confidence score
P80,Voice Conversation,M_{dialog},List⟨Turn⟩,M_{dialog},conversation history and dialog state
P80,Voice Conversation,O_{speech},AudioStream,O_{speech},synthesized speech output to user
P80,Voice Conversation,H_{int},"\{\text{listening}, \text{processing}, \text{speaking}, \text{idle}\}",H_{int},current interaction state
P81,Voice Command with Visual Feedback,I_{voice},Component,I_{voice},Component I_{voice} from tuple definition
P81,Voice Command with Visual Feedback,D_{trans},Component,D_{trans},Component D_{trans} from tuple definition
P81,Voice Command with Visual Feedback,V_{intent},Component,V_{intent},Component V_{intent} from tuple definition
P81,Voice Command with Visual Feedback,UI_{confirm},Component,UI_{confirm},Component UI_{confirm} from tuple definition
P82,Multimodal Input Fusion,I_{voice},Component,I_{voice},Component I_{voice} from tuple definition
P82,Multimodal Input Fusion,I_{gesture},Component,I_{gesture},Component I_{gesture} from tuple definition
P82,Multimodal Input Fusion,I_{screen},Component,I_{screen},Component I_{screen} from tuple definition
P82,Multimodal Input Fusion,E_{fusion},Component,E_{fusion},Component E_{fusion} from tuple definition
P82,Multimodal Input Fusion,Intent_{unified},Component,Intent_{unified},Component Intent_{unified} from tuple definition
P83,Voice-First Navigation,C_{voice},Component,C_{voice},Component C_{voice} from tuple definition
P83,Voice-First Navigation,G_{nav},Component,G_{nav},Component G_{nav} from tuple definition
P83,Voice-First Navigation,S_{shortcuts},Component,S_{shortcuts},Component S_{shortcuts} from tuple definition
P83,Voice-First Navigation,M_{confirm},Component,M_{confirm},Component M_{confirm} from tuple definition
P84,Continuous Dictation,T_{stream},Component,T_{stream},Component T_{stream} from tuple definition
P84,Continuous Dictation,D_{struct},Component,D_{struct},Component D_{struct} from tuple definition
P84,Continuous Dictation,F_{auto},Component,F_{auto},Component F_{auto} from tuple definition
P84,Continuous Dictation,M_{punct},Component,M_{punct},Component M_{punct} from tuple definition
P85,Voice Disambiguation,D_{ambig},Component,D_{ambig},Component D_{ambig} from tuple definition
P85,Voice Disambiguation,G_{clarify},Component,G_{clarify},Component G_{clarify} from tuple definition
P85,Voice Disambiguation,P_{choices},Component,P_{choices},Component P_{choices} from tuple definition
P85,Voice Disambiguation,R_{ctx},Component,R_{ctx},Component R_{ctx} from tuple definition
P86,Approval Checkpoint,T_{checkpoint},Component,T_{checkpoint},Component T_{checkpoint} from tuple definition
P86,Approval Checkpoint,G_{preview},Component,G_{preview},Component G_{preview} from tuple definition
P86,Approval Checkpoint,UI_{approve},Component,UI_{approve},Component UI_{approve} from tuple definition
P86,Approval Checkpoint,Gate_{exec},Component,Gate_{exec},Component Gate_{exec} from tuple definition
P87,Agency Slider,Spectrum_{control},Component,Spectrum_{control},Component Spectrum_{control} from tuple definition
P87,Agency Slider,Level_{current},Component,Level_{current},Component Level_{current} from tuple definition
