id,version,name,category,status,complexity,domains,last_updated,tuple_notation,definition_desc,num_components,num_properties,num_operations,num_type_definitions,num_manifestations,component_names,property_names,operation_names,requires,uses,specializes,specialized_by,manifestation_names
F2.4,1.1,Enrichment Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$E = (base, enrichers, combine, output)$",Enrichment flows augment data with additional context from external sources.,4,3,4,6,5,base|enrichers|combine|output,Enrichment Completeness|Fallback on Failure|Original Preservation,Enrich|Fetch Enrichment|Merge|Combine,,,,,Data augmentation|Content enrichment|Profile enrichment|Product enrichment|Log enrichment
F3.1,1.1,State Transition Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$L = (observe, learn, update, apply)$",State transition flows manage discrete state changes through defined transitions.,4,3,6,7,5,observe|learn|update|apply,Determinism|Completeness|State Validity,Execute Loop|Learn|Apply|Transition|Is Allowed|Get Valid Events,,,,,Reinforcement learning systems|Recommender systems|Adaptive user interfaces|Auto-tuning systems|Online learning algorithms
F3.2,1.1,Event-Driven Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$V = (validate, report, correct, verify)$",Event-driven flows react to events by dispatching handlers and updating state.,4,3,6,7,5,validate|report|correct|verify,Loose Coupling|Async Processing|Handler Isolation,Execute Validation|Validate|Correct|Emit Event|Subscribe|Handle Event,,,,,Form validation with corrections|Code linters with auto-fix|Data quality checks|Schema validation|Constraint satisfaction solvers
F3.3,1.1,Adaptation Loop Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$A = (monitor, detect, adjust, measure)$",Adaptation loops monitor system behavior and adjust parameters dynamically.,4,3,4,7,5,monitor|detect|adjust|measure,Convergence|Bounded Adaptation|Monotonic Improvement,Monitor|Analyze|Adapt|Execute,,,,,Auto-scaling systems|Self-healing infrastructure|Adaptive bitrate streaming|Dynamic resource allocation|Traffic load balancing
F3.4,1.1,Feedback Loop Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$U = (track, infer, personalize, apply)$",Feedback loops use output to adjust input in closed-loop control systems.,4,3,6,8,5,track|infer|personalize|apply,Stability|Zero Steady-State Error|Disturbance Rejection,Personalize|Infer Preferences|Apply Configuration|Sense|Compare|Actuate,,,,,Recommendation engines|Adaptive interfaces|Content personalization|Search result ranking|Notification preferences
F4.1,1.1,Presentation Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$R = (state, render, diff, patch)$",Presentation flows prepare and format data for display to users.,4,3,6,7,5,state|render|diff|patch,Separation of Concerns|Localization Support|Responsive Formatting,Update|Diff|Apply Patch|Format|Localize|Paginate,,,,,React/Vue/Svelte rendering|Virtual DOM frameworks|Incremental rendering|Reactive UI libraries|Real-time dashboards
F4.2,1.1,Query Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$N = (trigger, route, format, deliver)$",Query flows retrieve and filter data based on criteria and return results.,4,3,3,7,5,trigger|route|format|deliver,Correctness|Completeness|Efficiency,Read Model|Project|Aggregate,,,,,Alert systems|Email notifications|Push notifications|In-app messages|Webhook deliveries
F4.3,1.1,Export and Publishing Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$E = (source, transform, validate, publish)$",Export flows transform internal data to external formats and publish to destinations.,4,3,3,4,5,source|transform|validate|publish,Format Compliance|Lossless Export|Atomic Publish,Export|Transform|Publish,,,,,Document export|API publishing|Data export|Report generation|Static site generation
F4.4,1.1,Synchronization Flow,pattern,stable,medium,Process Flow|Architecture,2025-11-23,"$M = (query, compute, cache, refresh)$",Synchronization flows keep multiple data sources consistent through coordination.,4,3,3,8,5,query|compute|cache|refresh,Eventual Consistency|Conflict-Free|Idempotence,Publish|Subscribe|Sync,,,,,Database materialized views|Cached aggregations|Precomputed reports|Search indices|Dashboard metrics
F5,1.1,Collaborative Editing Flow,flow,stable,high,Process Flow|Architecture,2025-11-23,"$E = (U, D, O, T, M, \delta_{F5})$",Collaborative editing enables multiple users to edit shared documents concurrently with conflict resolution.,2,1,3,2,4,T|M,Eventual Consistency,Local Edit|Receive Remote Edit|Transform,,,,,Google Docs|Figma multiplayer|VS Code Live Share|Notion collaboration
F6,1.1,Error Recovery Flow,flow,stable,medium,Process Flow|Architecture,2025-11-23,"$E = (detect, classify, strategy, recover)$",Error recovery flows detect failures and apply strategies to restore normal operation.,4,3,3,3,5,detect|classify|strategy|recover,Error Classification|Recovery Exhaustion|State Safety,Retry with Backoff|Circuit Breaker|Graceful Degradation,,,,,Network request retry|File load fallback|Service degradation|Database connection pooling|User retry prompts
P1,1.1,Direct Manipulation Canvas,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$C = (viewport, objects, cursor, tools, state)$",Direct manipulation canvases enable users to interact with visual objects through direct gestures.,5,3,4,3,5,viewport|objects|cursor|tools|state,Direct Feedback|Undo/Redo|Snapping,Select|Drag|Resize|Interpret Gesture,,,,,Graph editor|3D viewport|Drawing canvas|Visual editor|Diagram editors
P10,1.1,Parser/Compiler Pipeline,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$pp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Parser/compiler pipelines transform source code through multiple stages to produce executable output.,4,4,8,6,3,input|process|output|display,Correctness|Error Reporting|Optimization|Usability,Process|Display|Update|Scan|Parse|Optimize|Lex|Compile,,,,,Parser/Compiler Pipeline in modern applications|Web-based parser/compiler pipeline|Mobile parser/compiler pipeline
P11,1.1,Validator/Checker,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$val = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Validators check data against rules and constraints to ensure correctness and completeness.,4,4,3,6,3,input|process|output|display,Completeness|Determinism|Clear Errors|Usability,Type Error|Semantic Error|Syntax Error,,,,,Validator/Checker in modern applications|Web-based validator/checker|Mobile validator/checker
P12,1.1,Solver/Optimizer,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$sol = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Solvers and optimizers find optimal solutions to constrained problems using algorithms.,4,4,7,6,3,input|process|output|display,Correctness|Optimality|Termination|Usability,Process|Display|Update|Solve|Optimize|Verify|Verify Solution,,,,,Solver/Optimizer in modern applications|Web-based solver/optimizer|Mobile solver/optimizer
P13,1.1,Indexer/Query Engine,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$ie = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Indexers build searchable indexes and query engines retrieve relevant information efficiently.,4,4,6,6,3,input|process|output|display,Completeness|Query Performance|Ranking Quality|Usability,Process|Display|Update|Index Document|Search|Rebuild Index,,,,,Indexer/Query Engine in modern applications|Web-based indexer/query engine|Mobile indexer/query engine
P14,1.1,Agent Swarm,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$A = (agents, tasks, coord, results)$",Agent swarms coordinate multiple AI agents to solve complex problems collaboratively.,4,3,8,5,4,agents|tasks|coord|results,Load Balancing|Fault Tolerance|Scalability,Task Queue|Priority Queue|Work Stealing|Dispatch Task|Assign to Agent|Deploy Swarm|Coordinate|Aggregate Results,,,,,Multi-agent reasoning|Parallel analysis|Distributed builds|Map-reduce
P15,1.1,Reasoning Chain,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$R = (steps, state, deps, result)$",Reasoning chains show step-by-step logical inference and decision-making processes.,4,3,1,5,4,steps|state|deps|result,Logical Validity|Traceability|Comprehensibility,Display,,,,,AI reasoning|Proof derivation|Build pipelines|Computation traces
P16,1.1,Suggestion/Recommendation System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$ss = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Suggestion and recommendation systems analyze context to provide relevant suggestions to users.,4,4,6,5,3,input|process|output|display,Relevance|Personalization|Diversity|Usability,Process|Display|Update|Generate Suggestions|Learn From Feedback|Explain Suggestion,,,,,Suggestion/Recommendation System in modern applications|Web-based suggestion/recommendation system|Mobile suggestion/recommendation system
P17,1.1,Key-Value Store,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$K = (store, get, set, delete)$",Key-value stores provide fast access to data using simple key lookups.,4,3,2,2,4,store|get|set|delete,Fast Lookup|Persistence|Key Uniqueness,Process|Display,,,,,Cache|Settings storage|Session state|Metadata store
P18,1.1,Relational Database,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$R = (tables, schemas, constraints, indices)$",Relational databases organize data in tables with relationships and support SQL queries.,4,3,3,5,4,tables|schemas|constraints|indices,ACID Compliance|Referential Integrity|Query Optimization,Process|Display|Update,,,,,Content database|File metadata|User data|Application state
P2,1.1,Command Interface,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$I = (input, parser, executor, history)$",Command interfaces enable users to execute actions through text-based commands.,4,3,3,1,4,input|parser|executor|history,Discoverability|Error Feedback|Undo Support,Process|Display|Update,,,,,Search bar|Command line|Command palette|Query input
P29,1.1,Centralized State Store,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (store, reducers, selectors, subscriptions)$",Centralized state stores manage application state in a single predictable container.,4,3,4,6,4,store|reducers|selectors|subscriptions,Single Source of Truth|Predictable Updates|Immutable State,Dispatch Action|Subscribe|Get State|Select,,,,,Redux|Vuex|Global state|Application model
P3,1.1,Hierarchical Navigator,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$N = (tree, selection, expansion, breadcrumb)$",Hierarchical navigators display and enable navigation through tree-structured data.,4,3,5,2,5,tree|selection|expansion|breadcrumb,Lazy Loading|Keyboard Navigation|Visual Hierarchy,Expand Node|Collapse Node|Navigate To|Select Node|Navigate,,,,,File explorer|Feature tree|Theorem library|Layer panel|Outline view
P30,1.1,Command Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$C = (commands, executor, undo\_stack, redo\_stack)$",Command pattern encapsulates requests as objects enabling undo/redo and queuing.,4,3,3,1,4,commands|executor|undo\_stack|redo\_stack,Reversibility|History Tracking|Redo Support,Execute|Undo|Redo,,,,,Undo/redo system|Macro recording|Transaction log|Command history
P31,1.1,Observer Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$O = (subject, observers, notify)$",Observer pattern enables objects to notify subscribers of state changes automatically.,3,3,5,2,4,subject|observers|notify,Loose Coupling|Automatic Updates|Multiple Observers,Attach|Detach|Notify|Attach Observer|Detach Observer,,,,,Data binding|Event listeners|Reactive subscriptions|Pub/sub systems
P32,1.1,Plugin Architecture,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$P = (interface, registry, loader, lifecycle)$",Plugin architecture enables dynamic extension through loadable modules with defined interfaces.,4,3,5,3,4,interface|registry|loader|lifecycle,Interface Compliance|Isolation|Dynamic Loading,Load Plugin|Call Plugin|Unload Plugin|Activate Plugin|Deactivate Plugin,,,,,VS Code extensions|WordPress plugins|Browser extensions|Plugin systems
P33,1.1,Hook System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$H = (hooks, handlers, register, invoke)$",Hook systems allow code injection at specific execution points for customization.,4,3,5,3,4,hooks|handlers|register|invoke,Non-Invasive Extension|Priority Ordering|Context Passing,Register Hook|Execute Hooks|Unregister Hook|Register Handler|Invoke Hooks,,,,,Lifecycle hooks|Event handlers|Middleware|Aspect-oriented programming
P34,1.1,Strategy Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (interface, implementations, selector, current)$",Strategy pattern encapsulates algorithms as interchangeable objects for runtime selection.,4,3,6,4,4,interface|implementations|selector|current,Runtime Selection|Interface Uniformity|Encapsulation,Set Strategy|Execute Strategy|Get Available Strategies|Select Strategy|Execute|Register Strategy,,,,,File format handlers|Solver algorithms|Rendering engines|Compression algorithms
P35,1.1,Split-Pane Layout,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (P, D, R, \delta_{35}, \sigma_{35})$",Split-pane layouts divide screen space into resizable panels for multiple concurrent views.,3,3,4,2,4,R|\delta_{35}|\sigma_{35},Space Conservation|Interactive Resizing|Minimum Size,Split Pane|Resize Pane|Close Pane|Resize,,,,,3-column CMS editor|VS Code panels|Split terminal windows|IDE layouts
P36,1.1,Selection-Driven Panel,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (selection, content, \phi_{36}, observers)$",Selection-driven panels update content automatically based on current selection state.,4,3,5,4,4,selection|content|\phi_{36}|observers,Automatic Updates|Consistency|Contextual Content,Update Selection|Register Panel|Clear Selection|Render Content|Subscribe to Selection,,,,,Inspector Panel|Property Panel|Details Pane|Preview Panel
P37,1.1,Empty State Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$E = (C, \epsilon_{37}, P, A)$",Empty state pattern provides helpful UI when no data or content is available.,1,3,5,1,4,\epsilon_{37},Contextual Guidance|Actionable|Visual Appeal,Show Empty State|Hide Empty State|Trigger Action|Check Empty|Render Placeholder,,,,,"""No annotations yet""|Empty inbox|Empty canvas|No search results"
P38,1.1,Badge/Indicator Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$bp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$","Badge and indicator patterns display status, counts, or notifications on UI elements.",4,4,6,4,3,state|measure|visualize|update,Visibility|Compact Display|Color Coding|Usability,Add Badge|Update Count|Remove Badge|Process|Display|Update,,,,,Badge/Indicator Pattern in modern applications|Web-based badge/indicator pattern|Mobile badge/indicator pattern
P39,1.1,Contextual Action Menu,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$M = (T, C, A, \pi_{39}, \sigma_{39}, \delta_{39})$",Contextual action menus provide relevant actions based on current selection and context.,3,3,4,1,4,\pi_{39}|\sigma_{39}|\delta_{39},Context Relevance|Quick Access|Auto Hide,Show Menu|Execute Action|Filter Actions|Open Menu,,,,,Three-dot menu|Right-click context menu|Kebab menu|More actions dropdown
P4,1.1,Property Inspector,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$I = (selection, fields, validators, commit)$",Property inspectors display and enable editing of object properties in structured panels.,4,3,6,1,4,selection|fields|validators|commit,Live Updates|Type Safety|Searchable,Inspect|Edit Property|Filter Properties|Load Properties|Validate Field|Commit Change,,,,,Properties panel|Inspector|Settings panel|Attributes editor
P40,1.1,Mode Toggle System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$T = (M, m_0, \delta_{40}, \phi_{40}, \iota_{40})$",Mode toggle systems switch between different operational modes with distinct behaviors.,3,3,5,2,4,\delta_{40}|\phi_{40}|\iota_{40},Exclusive Modes|Valid Transitions|Visual Indication,Switch Mode|Get Current Mode|Register Mode Handler|Toggle Mode|Cycle Modes,,,,,Auto-scroll toggle|Edit vs Preview|Tool modes|View modes
P41,1.1,Inline Status Chip,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (I, L, \theta_{41}, \sigma_{41}, \alpha_{41})$",Inline status chips display compact status indicators within text or lists.,2,3,5,2,4,\sigma_{41}|\alpha_{41},Compact Display|Status Colors|Inline Flow,Create Chip|Update Chip|Remove Chip|Update State|Render,,,,,"""AI: Partial"" warning chip|""âœ“ Saved"" success chip|""â± Syncing..."" info chip|""âŒ 2 errors"" error chip"
P42,1.1,Tooltip/Hint System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$ts = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",Tooltip and hint systems provide contextual help on hover or focus.,4,4,6,4,3,input|process|output|display,Non-Blocking|Smart Positioning|Accessibility|Usability,Show Tooltip|Hide Tooltip|Update Content|Process|Display|Update,,,,,Tooltip/Hint System in modern applications|Web-based tooltip/hint system|Mobile tooltip/hint system
P43,1.1,Application Navigation Drawer,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$D = (S_{43}, C, O, \alpha_{43}, \omega_{43}, \pi_{43})$",Application navigation drawers provide primary navigation through collapsible side panels.,3,3,6,1,4,O|\alpha_{43}|\pi_{43},Responsive Behavior|Persistent State|Keyboard Navigation,Toggle Drawer|Navigate To|Update Badge|Toggle|Pin|Navigate,,,,,Gmail sidebar|VS Code activity bar|Mobile hamburger menus|CMS tool selector
P44,1.1,Keyboard Shortcut System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$K = (B, M, H, C, P)$",Keyboard shortcut systems enable efficient command execution through key combinations.,4,3,6,2,4,B|H|C|P,Context Awareness|Discoverability|Customizable,Register Shortcut|Handle Key Event|Show Shortcuts|Register Binding|Handle Keypress|Display Hint,,,,,Ctrl+S|Ctrl+Z/Y|Ctrl+F|Esc
P45,1.1,Drag and Drop Interaction,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$D = (S, T, G, F, \phi_{45}, \psi_{45})$",Drag and drop interaction enables intuitive manipulation of UI elements through mouse gestures.,3,3,4,1,4,G|F|\phi_{45},Visual Feedback|Valid Drop Zones|Undo Support,Start Drag|During Drag|End Drag|Drop,,,,,Reorder tabs|Move files|Drag blocks to reorder|Kanban cards
P46,1.1,Focus Management System,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$F = (O, \tau_{46}, R, I, S)$",Focus management systems control keyboard focus flow and accessibility.,4,3,5,1,4,O|\tau_{46}|R|I,Logical Order|Keyboard Navigation|Screen Reader Support,Set Focus|Next Focusable|Create Focus Trap|Move Focus Forward|Trap Focus,,,,,Modal dialog focus trap|Keyboard navigation|Skip links|Accessible widgets
P47,1.1,Inline Editing Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$E = (M, \sigma_{47}, \tau_{47}, \phi_{47}, \psi_{47})$",Inline editing pattern enables direct content editing without separate forms.,3,3,5,1,4,\tau_{47}|\phi_{47}|\psi_{47},Direct Manipulation|Instant Feedback|Keyboard Support,Start Edit|Save Edit|Cancel Edit|Enter Edit Mode|Commit Changes,,,,,Click paragraph to edit|Spreadsheet cell editing|Filename rename|Tag editing
P48,1.1,Form Validation Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$V = (fields, rules, state, errors)$",Form validation pattern validates user input and provides helpful error feedback.,4,4,10,5,5,fields|rules|state|errors,Real-Time Validation|Clear Messages|Accessibility|Cross-Field Validation,On Submit|On Blur|On Change|Hybrid (Recommended)|Validate Form|Register Rule|Built-in Validators|Validate Field|Display Errors|Clear Errors,,,,,Registration forms|Login forms|Settings panels|Data entry forms|Survey forms
P49,1.1,Multi-Step Form (Wizard) Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$W = (steps, current, data, nav, progress)$",Multi-step form wizards guide users through complex processes with sequential steps.,5,4,8,2,5,steps|current|data|nav|progress,Linear Progress|State Preservation|Progress Visibility|Non-Linear Navigation,Linear|Stepped|Breadcrumb|Next Step|Previous Step|Go To Step|Validate Step|Submit Wizard,,,,,Checkout flow|Onboarding wizard|Setup assistant|Multi-page survey|Installation wizard
P5,1.1,Tabbed Workspace,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$W = (tabs, active, buffers, state)$",Tabbed workspaces organize content into switchable tabs for efficient multi-tasking.,4,3,4,1,4,tabs|active|buffers|state,State Preservation|Keyboard Navigation|Visual Active Indicator,Create Tab|Switch Tab|Close Tab|Open Tab,,,,,Editor tabs|Document tabs|Multi-file editing|Chat tabs
P50,1.1,Form Dependency Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$D = (fields, deps, update, cascade)$",Form dependency pattern manages field interdependencies and conditional visibility.,4,4,9,2,5,fields|deps|update|cascade,Automatic Updates|Cascade Handling|Cycle Prevention|Value Computation,Conditional Visibility|Value Computation|Update Field|Compute Derived Value|Cascading Defaults|Dynamic Options|Register Dependency|Update Dependent|Evaluate Conditions,,,,,Address forms|Product configurators|Tax calculators|Dynamic pricing forms|Conditional survey questions
P51,1.1,Responsive Layout Pattern (NEW),pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$L = (breakpoints, layouts, current)$",Responsive layout pattern adapts UI to different screen sizes and orientations.,3,3,9,3,4,breakpoints|layouts|current,Fluid Adaptation|Mobile First|Performance,Collapsing Navigation|Column Reflow|Component Swap|Select Layout|Apply Layout|Register Breakpoint|Detect Viewport|Apply Breakpoint|Reflow,,,,,Responsive web apps|Mobile-first design|Adaptive interfaces|Cross-device layouts
P52,1.1,Pagination Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$P = (data, page, size, total, nav)$",Pagination pattern divides large datasets into manageable pages for display.,5,3,12,2,5,data|page|size|total|nav,Complete Coverage|Page Size Consistency|Navigation Clarity,Offset-Based (Traditional)|Cursor-Based (API)|Numbered|Simple|Load More|Get Page|Navigate|Change Page Size|Infinite Scroll|Go To Page|Next Page|Set Page Size,,,,,Search results|Product listings|Data tables|Blog archives|API responses
P53,1.1,Filtering Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$F = (data, filters, active, result, facets)$",Filtering pattern enables users to narrow down displayed data based on criteria.,5,3,9,4,5,data|filters|active|result|facets,Compound Filtering|Real-Time Results|Filter Visibility,Range Filter|Boolean Filter|Apply Filter|Compute Result|Compute Facets|Clear Filters|Add Filter|Remove Filter|Apply Filters,,,,,E-commerce product filters|Search result filters|Data table column filters|Email filters|Log viewers
P54,1.1,Sorting Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$S = (data, columns, order, comparator)$",Sorting pattern enables users to order data by specified criteria.,4,3,10,3,5,data|columns|order|comparator,Stable Sort|Direction Indication|Performance,Drag to Reorder|Sort Data|Composite Comparator|Toggle Sort|Clear Sort|Single Column|Multi-Column (Shift-Click)|Sort By|Toggle Direction|Multi Sort,,,,,Data tables|File explorers|Email clients|Spreadsheets|Admin panels
P55,1.1,Virtualization Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$V = (data, viewport, item\_height, buffer, visible)$",Virtualization pattern renders only visible items for efficient handling of large lists.,5,4,8,1,5,data|viewport|item\_height|buffer|visible,Constant Memory|Smooth Scrolling|Accurate Scrollbar|Content Height,Handle Variable Heights|Variable Height (Estimated)|Dynamic Height|Calculate Visible Items|Update On Scroll|Calculate Visible Range|Render Visible|Handle Scroll,,,,,Large lists|Data grids|Feed viewers|Log viewers|File explorers
P56,1.1,Cache Strategy Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$C = (storage, policy, ttl, evict)$",Cache strategy pattern stores frequently accessed data for faster retrieval.,4,3,9,4,5,storage|policy|ttl|evict,Hit Rate|Bounded Size|Freshness,Cache-Aside|Read-Through|Write-Through|Write-Behind|Get (with Cache-Through)|Set|Get|Put|Evict,,,,,Browser cache|CDN caching|Database query cache|Computed value cache|Image thumbnails
P57,1.1,Data Migration Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$M = (versions, migrations, current, rollback)$",Data migration pattern transforms and moves data between schema versions or systems.,4,3,9,5,4,versions|migrations|current|rollback,Data Integrity|Rollback Safety|Progress Tracking,Additive (Safe)|Transformative|Destructive (Dangerous)|Migrate Up|Migrate Down|Create Migration|Plan Migration|Execute Migration|Rollback,,,,,Database schema migrations|API version upgrades|File format conversions|Configuration updates
P58,1.1,Authentication Pattern,pattern,stable,low,Software Architecture|Design Patterns,2025-11-23,"$A = (users, credentials, sessions, verify, tokens)$",Batch processing pattern handles large-scale operations in manageable chunks.,5,3,13,6,4,users|credentials|sessions|verify|tokens,Progress Tracking|Error Isolation|Resource Management,Authenticate|Register User|Verify Password|Create Session|Validate Session|Generate Token (JWT)|Session-Based|Token-Based (JWT)|OAuth 2.0|Multi-Factor (MFA)|Create Batch|Process Batch|Retry Failed,,,,,User login systems|API authentication|SSO|Multi-factor authentication
